year_month_day,trade_count,trade_revenue_xtz,primary_revenue_xtz,secondary_revenue_xtz,unique_sellers,unique_collectors
2021-03-26,6683.0,7752.499900000009,7641.499900000009,111.0,411.0,668.0
2021-03-27,9314.0,6349.716100000004,6133.716100000005,216.0,491.0,801.0
2021-03-28,9161.0,6350.481900000005,5989.731900000005,360.75,538.0,815.0
2021-03-29,5491.0,7631.716950000006,6048.296950000005,1583.4199999999998,547.0,752.0
2021-03-30,4629.0,8687.063950000005,7004.723950000006,1682.34,555.0,656.0
2021-03-31,4323.0,20031.47539999999,17381.21540000001,2650.26,587.0,685.0
2021-04-01,4112.0,58380.01286500026,56600.73786500026,1779.2750000000003,559.0,703.0
2021-04-02,3857.0,29879.42749999999,28896.667499999992,982.7600000000001,588.0,617.0
2021-04-03,3498.0,18098.654198999997,17579.714199,518.94,510.0,611.0
2021-04-04,3758.0,44428.97366500002,42074.87366500002,2354.0999999999995,595.0,647.0
2021-04-05,3382.0,22521.36830000009,16041.480300000081,6479.887999999999,539.0,614.0
2021-04-06,3418.0,29642.347300000005,28175.533300000006,1466.814,556.0,656.0
2021-04-07,3154.0,71081.54289999999,69295.03789999997,1786.5049999999999,526.0,636.0
2021-04-08,4292.0,52212.09929999976,49448.87129999978,2763.2279999999996,603.0,777.0
2021-04-09,3658.0,12363.607532999999,11154.883532999997,1208.7240000000002,611.0,755.0
2021-04-10,3095.0,27816.796044000024,26491.85904400002,1324.937,646.0,702.0
2021-04-11,3871.0,26390.769898000017,23753.881498000017,2636.8884,673.0,765.0
2021-04-12,3030.0,15657.376190000023,13765.88769000003,1891.4885000000002,634.0,765.0
2021-04-13,4064.0,38600.36565000002,37101.94415000002,1498.4215000000006,643.0,910.0
2021-04-14,3526.0,17653.550999999996,16932.850999999988,720.7,640.0,889.0
2021-04-15,4063.0,12336.616183999993,10937.20509600001,1399.4110879999998,660.0,941.0
2021-04-16,3845.0,11309.275200000005,9207.729200000007,2101.5460000000003,755.0,961.0
2021-04-17,2845.0,7181.652538000017,5671.624538000001,1510.0280000000002,640.0,737.0
2021-04-18,3310.0,6215.678910000033,5115.6349100000325,1100.0439999999999,680.0,839.0
2021-04-19,4343.0,14516.220222,11660.451621999995,2855.768599999999,793.0,986.0
2021-04-20,3329.0,11910.326979999982,8685.13398000001,3225.193,735.0,872.0
2021-04-21,6052.0,14589.616890000023,12109.183490000016,2480.4334,955.0,1253.0
2021-04-22,6859.0,14828.311769000124,12444.937569000118,2383.3742,1058.0,1358.0
2021-04-23,27565.0,13330.729045000046,9543.084645000048,3787.644400000001,1252.0,2106.0
2021-04-24,43559.0,9422.586080000097,7176.81628000011,2245.7698000000005,1540.0,2586.0
2021-04-25,53374.0,14695.45278899999,10660.303189000031,4035.149600000001,1860.0,2962.0
2021-04-26,31210.0,17564.05460800005,13766.714208000032,3797.3404000000014,1918.0,2594.0
2021-04-27,13776.0,17473.231034000037,14515.86903400002,2957.3619999999996,1516.0,1859.0
2021-04-28,10851.0,19733.537573999838,15995.580774000044,3737.9568000000527,1422.0,1722.0
2021-04-29,9312.0,19506.74810399999,13645.58550400002,5861.162600000088,1490.0,1670.0
2021-04-30,7239.0,20654.528313999796,16242.551114000049,4411.9772000000785,1511.0,1538.0
2021-05-01,5455.0,15217.432003000287,10016.368603000117,5201.063400000102,1239.0,1270.0
2021-05-02,6272.0,15866.116499000205,12537.996699000088,3328.119800000016,1183.0,1341.0
2021-05-03,6057.0,15131.119050000085,11729.299300000035,3401.8197500000333,1173.0,1420.0
2021-05-04,6287.0,18718.190032999908,14285.26138900016,4432.92864400007,1166.0,1487.0
2021-05-05,6718.0,14163.151137000224,10593.080051000105,3570.071086000048,1269.0,1576.0
2021-05-06,6293.0,16126.423866000185,12461.307978000103,3665.1158880000053,1277.0,1651.0
2021-05-07,5238.0,15689.58916000021,12328.019160000125,3361.5700000000147,1078.0,1425.0
2021-05-08,5372.0,13801.415614000187,9413.15961500009,4388.255999000063,1140.0,1354.0
2021-05-09,4874.0,10557.841662000146,8312.935783000095,2244.905879000003,1126.0,1285.0
2021-05-10,4896.0,10727.017651000227,8798.762851000141,1928.2547999999977,1097.0,1471.0
2021-05-11,4741.0,9980.110621000125,8464.195221000093,1515.9153999999974,1135.0,1446.0
2021-05-12,6169.0,15245.27774900016,12742.398240000115,2502.879509000002,1258.0,1780.0
2021-05-13,6449.0,15223.47696200019,12240.295882000144,2983.1810800000067,1373.0,1725.0
2021-05-14,5943.0,13219.41655300002,10560.421994000046,2658.9945590000175,1325.0,1633.0
2021-05-15,5250.0,10922.567170000122,8562.443846000093,2360.123324000005,1300.0,1446.0
2021-05-16,6086.0,14799.863519000088,11967.156320000042,2832.7071990000054,1410.0,1548.0
2021-05-17,5741.0,13160.7308590001,9824.989449000097,3335.741410000003,1333.0,1552.0
2021-05-18,6654.0,14770.910468000084,11417.110060000046,3353.8004080000046,1502.0,1822.0
2021-05-19,5872.0,15294.788783999971,11802.040826999995,3492.7479570000023,1395.0,1755.0
2021-05-20,7627.0,25993.392043999822,16974.62601700001,9018.766027000007,1594.0,1951.0
2021-05-21,6382.0,18014.156760999984,13810.267242000082,4203.8895190000085,1431.0,1692.0
2021-05-22,6673.0,22225.01397299999,15427.311113000134,6797.70286000002,1521.0,1587.0
2021-05-23,6709.0,26102.0914559999,17417.751446000057,8684.34001000003,1537.0,1643.0
2021-05-24,7389.0,25710.855559999927,16754.892880000156,8955.962680000017,1718.0,1693.0
2021-05-25,7494.0,26853.178570999993,15528.086894000096,11325.091677000019,1698.0,1753.0
2021-05-26,7920.0,31656.409853999718,20937.576207000027,10718.833647000034,1688.0,1837.0
2021-05-27,7408.0,31134.292650999727,22891.203034999864,8243.089616000007,1657.0,1766.0
2021-05-28,10081.0,38710.210055997355,26960.734051997442,11749.476004000004,1683.0,2041.0
2021-05-29,12016.0,28780.391807998316,19394.807923000375,9385.583884999978,1707.0,1874.0
2021-05-30,8301.0,27600.208906000007,18635.50995900021,8964.698946999995,1751.0,1816.0
2021-05-31,8678.0,35234.707955999846,24031.13817999982,11203.56977600002,1789.0,1899.0
2021-06-01,7956.0,41443.45271099981,32626.793513999837,8816.659197000026,1681.0,1985.0
2021-06-02,8326.0,43062.95726499981,30437.02048999991,12625.936775000015,1697.0,1982.0
2021-06-03,7652.0,30479.971007999935,21535.222829999926,8944.748177999987,1615.0,1985.0
2021-06-04,6544.0,30617.486259999896,20269.909776999993,10347.57648300001,1588.0,1801.0
2021-06-05,6065.0,23564.11576100004,16359.773456000023,7204.342304999992,1438.0,1603.0
2021-06-06,6402.0,23302.380184000074,16208.604281,7093.775902999997,1562.0,1658.0
2021-06-07,8611.0,28168.376921998002,19602.972969998948,8565.403952000035,1720.0,2015.0
2021-06-08,28505.0,33038.601586987155,24107.828323993872,8930.773262999966,2093.0,2928.0
2021-06-09,18366.0,33788.619904997584,24919.634291998704,8868.985612999995,2156.0,2876.0
2021-06-10,9605.0,28748.460503999566,18972.165791000105,9776.294712999987,1883.0,2346.0
2021-06-11,10190.0,34946.617310998394,24747.253186000242,10199.364124999998,1872.0,2207.0
2021-06-12,8252.0,25102.834032998715,14435.531851000702,10667.302181999989,1672.0,1786.0
2021-06-13,7931.0,32556.479812999292,16763.17249200028,15793.307321000002,1715.0,1774.0
2021-06-14,7792.0,38627.26801999928,22588.666495999147,16038.601523999994,1627.0,1978.0
2021-06-15,7618.0,30249.473102999636,18022.607198999922,12226.865903999987,1772.0,1903.0
2021-06-16,9043.0,34535.920315999734,20686.04400199986,13849.876314000014,1652.0,2134.0
2021-06-17,7907.0,36251.77604799968,21835.612199999836,14416.163847999997,1671.0,2039.0
2021-06-18,20204.0,38348.944859999545,29220.266324999753,9128.678534999988,1782.0,2807.0
2021-06-19,22627.0,35950.064016999495,26734.389343999654,9215.674672999998,1973.0,2896.0
2021-06-20,14880.0,29170.547621999973,19501.60521000002,9668.942411999997,1973.0,2474.0
2021-06-21,9389.0,34177.01046899988,19176.590176000056,15000.42029299998,1764.0,2146.0
