Block level,Datetime,Operation,Received XTZ,Received EUR,From address,Sent XTZ,Sent EUR,Fee XTZ,Fee EUR,To address,Explorer link
2146672,2022-02-25 00:48:34,transaction,0.3,0.8272394901264933,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/oosd9mdFYENEonACHHh3fihot8tHeJqgzxfJARUW5pjLbRqK7hA/41434651/19
2146680,2022-02-25 00:52:34,transaction,0.025,0.06896147305227007,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opUy54P7rkM9hq5R6UpN24XU2nZG9hGCMYdYNZEpMbfaxQwy24g/34986752/39
2146682,2022-02-25 00:53:34,transaction,0.025,0.06896147305227007,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oow23uaZxi5Y7CjSYrVinNGC16jNjb8UBV13LDbDHaQzMc2NAGu/34986753/28
2146683,2022-02-25 00:54:04,transaction,0.025,0.06896147305227007,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opJqBUmKXFW3bu3GTDD7utPiM9HLBkmAwwBrRRq8FLCy3R3VRq2/34986754/29
2146683,2022-02-25 00:54:04,transaction,0.025,0.06896147305227007,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooqBFJVyGe7Wh1hbPVZ9sbhRft25VPtyZHCF5pgX35R9DGfjWLb/34962795/32
2146684,2022-02-25 00:54:34,transaction,0.025,0.06896147305227007,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opCzEMzEyYQ4Fq3ipMBUt28ArgzKBSptZMjvZ8jhMY1i3mZREdK/41241564/31
2146688,2022-02-25 00:56:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op4QmFfNXQqM8Vj3VQ6zSZtmzuejoFSHKN6JmADcp4AVZmFTPYe/11692996/5
2146688,2022-02-25 00:56:34,transaction,0.625,1.720652973182227,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/ooMkVuZTuh1kbG1GqQizabts85jjkCvfc3RPe9WoBkixgm9LHUA/41174796/9
2146688,2022-02-25 00:56:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooAFHJTWFF66EsNZDaEF6mCySo9yuvoV6iyMoWXfjDB6xqxovpv/26582004/12
2146688,2022-02-25 00:56:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooS7TEvoUaTjTtXMreR66uLUYJWkqKswj27CV5Zg8j6eAHoyhuQ/41241565/15
2146690,2022-02-25 00:57:34,transaction,0.03,0.0825913427127469,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/opQwNMAyyMnQr146ivfH2YLyYDYrdkKmeD7nwpuovzAzn7cegnw/41241566/14
2146690,2022-02-25 00:57:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooWU7g4e4CeqwQee1RDUhWdyBPE5SveE4vo77bbdnJvm85vv5wS/34986755/17
2146690,2022-02-25 00:57:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/oo9deyRLG7GouRDnTivvvMzuvtwhmkEE4xmgoAcWaKTaNiAvNiz/26582005/20
2146692,2022-02-25 00:58:34,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/opMPXBnhWRjGTgTByWhNsWMuYpC1cd2Qj3fm9xLtMD1r8fqgyS5/26582006/21
2146693,2022-02-25 00:59:04,transaction,0.025,0.06882611892728908,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op4LjyojUf5irbe1HXabmtuMXYvog4Jiuu4SLUxwRG5yXbXV1eq/34986756/15
2146705,2022-02-25 01:05:04,transaction,0.025,0.06879835174055102,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ooaUraSkbxtevY2Sjcd5bE5ZtzcWxzQ6GZqEHjTvzMBCQEx5KW5/26582007/25
2146708,2022-02-25 01:06:34,transaction,0.05,0.13777012154852547,KT1Xo5B7PNBAeynZPmca4bRh6LQow4og1Zb9,,,,,,https://tzkt.io/onrgiiFxZiEZg1fT47TfEjPWccmhL4xXyDk5sKD2mqAvKDEuioB/26968580/45
2146720,2022-02-25 01:12:34,transaction,0.025,0.06928946716533944,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/ood3b27og4dDcwPFhtce21qDgxxpcKSB3wyzDZ5EbZX25Wi6fuu/36426203/46
2146721,2022-02-25 01:13:04,transaction,0.025,0.06928946716533944,KT1XCoGnfupWk7Sp8536EfrxcP73LmT68Nyr,,,,,,https://tzkt.io/op7PYJAr7ETCVotgN2i8VTKuu1mRNSZJZEg8H24v2gNsg3UpKFs/40731804/27
